Date,Value
2021-12-31,47663.451
2020-12-31,46389.478
2019-12-31,44832.828
2018-12-31,43306.202
2017-12-31,41921.353
2016-12-31,40409.283
2015-12-31,43331.961
2014-12-31,50252.088
2013-12-31,52345.308
2012-12-31,52574.868
2011-12-31,52142.718
2010-12-31,47512.679
2009-12-31,40831.097
2008-12-31,46660.868
2007-12-31,44599.148
2006-12-31,40441.766
2005-12-31,36315.727
2004-12-31,32075.361
2003-12-31,28242.185
2002-12-31,24210.039
2001-12-31,23777.486
2000-12-31,24221.265
1999-12-31,22261.148
1998-12-31,20975.139
1997-12-31,21857.611
1996-12-31,21257.09
1995-12-31,20641.543
1994-12-31,19963.295
1993-12-31,20145.558
1992-12-31,20915.034
1991-12-31,21807.255
1990-12-31,21495.149
1989-12-31,20763.516
1988-12-31,18966.339
1987-12-31,16339.729
1986-12-31,14479.538
1985-12-31,14131.186
1984-12-31,13894.395
1983-12-31,13441.381
1982-12-31,12499.474
1981-12-31,12355.415
1980-12-31,11155.437
