Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2016-03-11,59.39,59.51,58.65,59.34,21053853.0,0.0,1.0,59.39,59.51,58.65,59.34,21053853.0
2016-03-10,59.59,59.67,57.81,58.61,21137892.0,0.0,1.0,59.59,59.67,57.81,58.61,21137892.0
2016-03-09,59.15,59.54,58.68,59.12,13238628.0,0.0,1.0,59.15,59.54,58.68,59.12,13238628.0
2016-03-08,59.21,59.5,58.68,58.78,14033180.0,0.0,1.0,59.21,59.5,58.68,58.78,14033180.0
2016-03-07,59.54,60.05,59.32,59.94,12830250.0,0.0,1.0,59.54,60.05,59.32,59.94,12830250.0
2016-03-04,60.1,60.55,59.531,60.05,18456514.0,0.0,1.0,60.1,60.55,59.531,60.05,18456514.0
2016-03-03,59.58,59.96,59.103,59.96,15788244.0,0.0,1.0,59.58,59.96,59.103,59.96,15788244.0
2016-03-02,59.2,59.9,58.96,59.76,20943121.0,0.0,1.0,59.2,59.9,58.96,59.76,20943121.0
2016-03-01,56.76,59.2,56.67,59.2,23950289.0,0.0,1.0,56.76,59.2,56.67,59.2,23950289.0
2016-02-29,57.41,57.605,56.29,56.3,19548605.0,0.0,1.0,57.41,57.605,56.29,56.3,19548605.0
2016-02-26,57.64,58.11,57.14,57.54,20946919.0,0.0,1.0,57.64,58.11,57.14,57.54,20946919.0
2016-02-25,56.13,57.03,56.04,57.01,14470525.0,0.0,1.0,56.13,57.03,56.04,57.01,14470525.0
2016-02-24,55.2,56.21,54.325,56.14,25553245.0,0.0,1.0,55.2,56.21,54.325,56.14,25553245.0
2016-02-23,57.9,58.09,55.96,56.12,31740379.0,0.0,1.0,57.9,58.09,55.96,56.12,31740379.0
2016-02-22,58.51,58.88,58.42,58.57,14882238.0,0.0,1.0,58.51,58.88,58.42,58.57,14882238.0
2016-02-19,57.5,58.17,57.075,57.82,15657870.0,0.0,1.0,57.5,58.17,57.075,57.82,15657870.0
2016-02-18,58.84,58.86,57.25,57.81,17037491.0,0.0,1.0,58.84,58.86,57.25,57.81,17037491.0
