taxvaluedollarcnt,bathroomcnt,bedroomcnt,garagecarcnt,poolcnt,garagetotalsqft,roomcnt,unitcnt,yearbuilt,taxamount,calculatedfinishedsquarefeet,DollarPerSquareFeet,latitude,longitude
208692.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1955.0,5523.8,1250.0,166.9536,34.09494,-118.180746
174000.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1986.0,3895.76,1302.0,133.64055299539172,34.598115,-118.154873
335790.0,2.5,2.0,2.0,0.0,401.0,0.0,0.0,1998.0,4269.9,1213.0,276.8260511129431,33.773334,-117.921597
113446.0,2.0,3.0,2.0,0.0,440.0,7.0,0.0,1977.0,1336.3,1565.0,72.48945686900959,33.669225,-117.771271
119906.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1940.0,11484.48,2217.0,54.08479927830401,34.136312,-118.175032
111521.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1939.0,2304.97,1297.0,85.98380878951427,33.899475,-118.21272
1194279.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1952.0,14747.98,3749.0,318.55934915977593,33.969828,-118.396647
480000.0,2.5,3.0,2.0,0.0,0.0,6.0,0.0,1979.0,6383.74,1558.0,308.0872913992298,34.176362,-118.757591
1151000.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,1972.0,15264.65,3623.0,317.6925200110406,34.156052,-118.567668
119375.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1912.0,3668.14,1457.0,81.93205216197667,34.009266,-118.313092
250245.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1966.0,3117.19,1045.0,239.4688995215311,34.1678,-118.522
334392.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1953.0,4128.58,1631.0,205.0226854690374,33.815675,-118.098715
473801.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1927.0,5832.19,1782.0,265.881593714927,34.108082,-118.278299
261169.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1948.0,3398.7,1420.0,183.9218309859155,34.207182,-118.524994
394474.0,2.0,4.0,2.0,1.0,400.0,8.0,0.0,1955.0,6004.62,1202.0,328.18136439267886,33.712676,-117.877567
182891.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1946.0,2481.35,640.0,285.7671875,33.905332,-118.152452
239456.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1955.0,3249.37,1875.0,127.70986666666667,33.901561,-118.00961
315989.0,2.5,3.0,2.0,0.0,482.0,0.0,0.0,1987.0,4215.48,1963.0,160.97249108507387,33.787439,-117.768395
70316.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1970.0,913.17,597.0,117.78224455611391,33.7764,-118.123
253138.0,2.0,3.0,2.0,0.0,462.0,6.0,0.0,1957.0,3329.14,1321.0,191.62604087812264,33.770148,-118.021281
416279.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1950.0,5194.0,1727.0,241.04169079328315,34.164085,-118.528595
260249.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1927.0,3211.31,840.0,309.8202380952381,33.858594,-118.188672
709000.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2003.0,10977.8,1430.0,495.8041958041958,33.9718,-118.425
108255.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1974.0,1186.52,991.0,109.23814328960646,34.1399,-118.232
62165.0,2.0,4.0,2.0,0.0,440.0,7.0,0.0,1963.0,1215.46,1445.0,43.02076124567474,33.739359,-117.96016
325361.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1960.0,4234.82,1537.0,211.68575146389068,34.081552,-117.874511
270803.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1981.0,3394.54,1302.0,207.9900153609831,34.1509,-118.379
338316.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1975.0,3550.56,1536.0,220.2578125,34.131574,-118.811986
626877.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1968.0,13342.57,2186.0,286.7689844464776,34.107836,-118.269407
212077.0,2.0,4.0,2.0,0.0,441.0,7.0,0.0,1962.0,3020.24,1430.0,148.3055944055944,33.784649,-118.025454
300987.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,1970.0,3754.82,2054.0,146.53700097370984,33.993442,-117.819432
49676.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1954.0,4586.87,1114.0,44.59245960502693,33.926373,-118.315318
1507867.0,3.0,4.0,2.0,1.0,546.0,8.0,0.0,1961.0,16414.54,2501.0,602.905637744902,33.631707,-117.895947
175575.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1990.0,3424.09,937.0,187.37993596584846,33.7831,-118.15
768458.0,3.0,5.0,2.0,1.0,600.0,9.0,0.0,1973.0,8602.56,3213.0,239.17149081854964,33.806775,-117.817273
251991.0,2.5,3.0,1.0,0.0,339.0,7.0,0.0,1956.0,3834.72,2274.0,110.81398416886543,33.504562,-117.74628
285593.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1940.0,3812.54,789.0,361.96831432192647,33.958023,-118.219284
36465.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1948.0,850.71,792.0,46.041666666666664,33.895531,-118.07863
200604.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1959.0,2680.11,1637.0,122.54367745876604,34.272757,-118.496187
796832.0,4.0,3.0,2.0,1.0,630.0,9.0,0.0,1978.0,9110.88,4522.0,176.21229544449358,33.891229,-117.90511
611146.0,2.5,4.0,2.0,0.0,683.0,0.0,0.0,1990.0,6297.38,2579.0,236.97014346645986,33.513632,-117.700595
534808.0,2.5,3.0,2.0,0.0,420.0,0.0,0.0,1986.0,5513.12,2406.0,222.2809642560266,33.506554,-117.730708
155922.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1964.0,2130.86,1644.0,94.84306569343066,34.109293,-117.747954
527000.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1953.0,6374.69,1506.0,349.933598937583,33.797123,-118.115883
254174.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,1968.0,3315.97,3453.0,73.60961482768607,34.145109,-118.809206
497000.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1926.0,5790.99,748.0,664.4385026737968,33.837068,-118.325044
474289.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1961.0,5968.47,1578.0,300.563371356147,34.252256,-118.491619
249894.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1949.0,3763.56,752.0,332.3058510638298,33.90787,-118.155267
190638.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1949.0,2478.39,784.0,243.16071428571428,34.053658,-117.762591
275768.0,2.0,3.0,2.0,0.0,495.0,5.0,0.0,1972.0,3655.2,1260.0,218.86349206349206,33.757194,-118.03937
195088.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,1922.0,2561.58,705.0,276.7205673758865,33.827297,-117.919123
120760.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1985.0,1822.02,801.0,150.76154806491886,33.8033,-118.173
650000.0,2.5,2.0,2.0,0.0,440.0,5.0,0.0,1970.0,7848.56,1697.0,383.02887448438423,34.446486,-119.25104
123361.0,1.0,3.0,1.0,0.0,216.0,5.0,0.0,1938.0,1667.94,729.0,169.21947873799726,33.847014,-117.921117
55976.0,2.0,3.0,2.0,0.0,483.0,5.0,0.0,1958.0,5453.9,1214.0,46.10873146622735,33.865139,-117.949554
437789.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1926.0,6082.5,2283.0,191.760402978537,34.0854,-118.097511
83789.0,2.0,4.0,2.0,0.0,441.0,7.0,0.0,1961.0,1309.18,1923.0,43.572022880915235,33.820303,-118.009588
235000.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1939.0,3257.6,936.0,251.06837606837607,33.944908,-118.274268
630005.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1940.0,7098.21,1506.0,418.3300132802125,34.166733,-118.342338
387880.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1961.0,5111.27,2162.0,179.40795559666975,34.134644,-118.460228
216354.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1991.0,2617.29,986.0,219.42596348884382,34.1573,-118.372
212614.0,2.0,4.0,2.0,0.0,450.0,7.0,0.0,1954.0,2684.62,1376.0,154.51598837209303,33.858818,-117.95542
1112701.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,1956.0,13742.9,3288.0,338.4127128953771,34.134846,-118.474941
355333.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1967.0,4949.06,2030.0,175.04088669950738,33.849047,-118.259682
375959.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1948.0,23476.12,2381.0,157.89962200755986,34.15381,-118.427326
177577.0,2.5,3.0,2.0,0.0,460.0,5.0,0.0,1973.0,2362.56,1333.0,133.21605401350337,33.796779,-117.919472
451482.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1969.0,5705.57,2258.0,199.94774136403896,34.277486,-118.354207
525471.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,1948.0,6713.76,681.0,771.6167400881058,33.505112,-117.742066
449537.0,3.0,4.0,1.0,0.0,360.0,6.0,0.0,1958.0,5634.54,1757.0,255.85486624928856,33.752587,-117.941739
1159951.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1999.0,16609.77,4093.0,283.398729538236,33.992812,-117.845818
172410.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1943.0,10125.02,1255.0,137.3784860557769,34.151885,-118.40311
281966.0,1.5,2.0,2.0,0.0,400.0,7.0,0.0,1954.0,3371.5,1531.0,184.17112998040497,33.87465,-117.942545
3377976.0,7.0,6.0,0.0,1.0,0.0,0.0,1.0,2009.0,41297.05,5032.0,671.2988871224165,34.042433,-118.482801
2470723.0,4.5,3.0,4.0,0.0,1025.0,0.0,0.0,2002.0,26385.58,3466.0,712.8456433929601,33.520312,-117.760521
160717.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,2006.0,2962.34,2609.0,61.600996550402456,34.710498,-118.066364
233882.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1949.0,2867.4,855.0,273.54619883040937,34.257165,-118.42176
435000.0,1.5,3.0,2.0,0.0,441.0,6.0,0.0,1966.0,5120.32,1426.0,305.04908835904627,33.815907,-118.054254
611988.0,2.0,4.0,2.0,0.0,452.0,7.0,0.0,1964.0,4636.22,2104.0,290.8688212927757,33.733582,-117.948691
2041034.0,4.5,3.0,3.0,0.0,761.0,8.0,0.0,1999.0,21997.24,4276.0,477.32319925163705,34.125397,-118.889439
933938.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1989.0,11581.6,3481.0,268.29589198506176,34.149925,-118.554899
58459.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1956.0,1261.78,1658.0,35.258745476477685,34.142893,-117.951108
323000.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2004.0,4769.66,1121.0,288.135593220339,34.435263,-118.556049
472570.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2004.0,6795.24,1946.0,242.84172661870502,34.442624,-118.556236
264245.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1989.0,3387.27,2220.0,119.02927927927928,34.078376,-117.774718
210115.0,2.0,3.0,2.0,0.0,451.0,8.0,0.0,1959.0,2732.38,1670.0,125.81736526946108,33.819836,-117.947743
198879.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1950.0,2690.41,1470.0,135.29183673469387,33.846277,-118.104612
1270515.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1964.0,15407.52,1672.0,759.8773923444976,34.0522,-118.408
101138.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1961.0,1497.34,1940.0,52.13298969072165,34.118071,-118.314984
461104.0,5.0,3.0,1.0,0.0,380.0,5.0,0.0,1977.0,5439.82,2463.0,187.21234267153878,33.668831,-118.007833
140142.0,2.0,3.0,2.0,0.0,471.0,6.0,0.0,1967.0,1908.7,1304.0,107.47085889570552,33.818969,-118.033401
245905.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1950.0,3236.95,826.0,297.70581113801455,33.968433,-118.070873
106144.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1971.0,1279.07,802.0,132.3491271820449,34.1678,-118.524
1356976.0,4.5,3.0,2.0,0.0,630.0,0.0,0.0,1990.0,14956.48,3370.0,402.6635014836795,33.466849,-117.685323
320000.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1954.0,3904.9,966.0,331.26293995859214,34.02079,-117.980728
347935.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1926.0,4474.15,616.0,564.8295454545455,34.128249,-118.201486
770239.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1984.0,9435.81,1921.0,400.95731389901096,33.865477,-118.369538
1040000.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,1989.0,11604.07,3242.0,320.78963602714373,33.860467,-118.053695
418191.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1973.0,5128.65,998.0,419.0290581162325,33.8764,-118.362
708709.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1925.0,8506.47,3604.0,196.6451165371809,34.128933,-118.133291
571188.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1952.0,7152.93,1460.0,391.2246575342466,34.009627,-118.346842
501724.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,1987.0,6866.33,2345.0,213.9547974413646,34.441838,-118.503478
271725.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1946.0,3360.47,1000.0,271.725,33.865544,-118.190491
431000.0,2.0,2.0,2.0,0.0,483.0,5.0,0.0,1973.0,4794.08,1123.0,383.79341050756904,33.84,-117.76
1803700.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1937.0,20936.38,2019.0,893.3630510153541,33.794697,-118.392407
921842.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,1941.0,11383.53,4153.0,221.9701420659764,34.054388,-118.403524
142304.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1940.0,4483.84,896.0,158.82142857142858,34.102773,-117.77256
325969.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1956.0,4140.67,1536.0,212.21940104166666,34.115221,-118.219949
114323.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1950.0,7880.95,1349.0,84.74647887323944,33.796721,-118.345358
198271.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1972.0,2466.05,1144.0,173.3138111888112,33.877703,-118.065468
202121.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1953.0,2653.28,1800.0,112.28944444444444,34.143615,-117.869519
1367235.0,4.5,5.0,4.0,0.0,926.0,0.0,0.0,2003.0,18152.64,4823.0,283.4822724445366,33.90452,-117.756703
1736152.0,5.5,5.0,3.0,1.0,827.0,0.0,0.0,2004.0,21649.46,5574.0,311.47326874775746,33.904443,-117.785106
214800.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1963.0,2613.26,937.0,229.24226254002136,34.2534,-118.589
106800.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1955.0,2304.86,1089.0,98.07162534435261,34.570578,-118.109997
331773.0,3.0,5.0,2.0,1.0,648.0,9.0,0.0,1965.0,4158.98,1964.0,168.92718940936862,33.90996,-117.844182
280392.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1947.0,3818.67,1044.0,268.57471264367814,34.052461,-117.755827
366172.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1941.0,4746.69,1012.0,361.8300395256917,33.921192,-118.048784
328084.0,2.5,4.0,2.0,0.0,451.0,7.0,0.0,1964.0,4248.82,2004.0,163.71457085828342,33.89723,-117.845898
380000.0,2.0,3.0,2.0,0.0,461.0,6.0,0.0,1983.0,4320.98,1152.0,329.8611111111111,33.880727,-117.751576
771530.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1972.0,9461.47,1492.0,517.1112600536193,34.0916,-118.378
858000.0,3.0,4.0,2.0,0.0,413.0,0.0,0.0,2006.0,12734.72,2583.0,332.1718931475029,33.481056,-117.594495
499174.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,1948.0,6229.55,2142.0,233.04108309990664,34.219018,-118.401832
146214.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1950.0,2078.7,1308.0,111.78440366972477,33.967115,-118.067011
354424.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1992.0,4964.59,1145.0,309.54061135371177,34.4118,-118.487
103876.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1974.0,1520.37,1325.0,78.39698113207547,33.91704,-117.996166
245366.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1947.0,4347.36,1601.0,153.25796377264209,33.893808,-118.237898
187502.0,1.5,2.0,2.0,0.0,0.0,4.0,0.0,1972.0,2306.16,1000.0,187.502,34.2815,-118.727
672000.0,2.5,3.0,2.0,0.0,410.0,0.0,0.0,1998.0,7769.72,1543.0,435.5152300712897,33.691774,-117.995327
174546.0,3.0,5.0,0.0,1.0,0.0,0.0,1.0,1974.0,2550.96,3071.0,56.836860957342886,33.912202,-117.995641
65022.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1959.0,1007.35,1397.0,46.54402290622763,34.189243,-118.63504
309053.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1950.0,4255.52,1082.0,285.6312384473198,34.246181,-118.283356
986303.0,2.0,3.0,2.0,0.0,409.0,6.0,0.0,1962.0,11480.3,1249.0,789.6741393114492,33.628116,-117.948838
138031.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1976.0,2117.56,1675.0,82.40656716417911,33.952571,-117.937283
804440.0,2.5,3.0,2.0,0.0,441.0,7.0,0.0,1977.0,9050.78,1826.0,440.54764512595835,33.728171,-118.064802
191596.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1976.0,2438.91,806.0,237.712158808933,33.7882,-118.13
696460.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1922.0,8570.25,1880.0,370.4574468085106,34.052801,-118.328661
269000.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1908.0,3205.14,1404.0,191.5954415954416,34.148165,-118.113165
362333.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1925.0,4530.99,1828.0,198.21280087527353,33.857527,-118.177554
741000.0,3.0,4.0,2.0,1.0,672.0,9.0,0.0,1989.0,8768.72,2701.0,274.3428359866716,33.878157,-117.695129
1147518.0,4.5,5.0,2.0,1.0,687.0,11.0,0.0,2003.0,12334.34,4100.0,279.88243902439024,34.222933,-118.823786
165907.0,2.0,4.0,2.0,0.0,494.0,7.0,0.0,1962.0,2365.78,1467.0,113.09270620313565,33.766591,-118.027125
2221906.0,5.5,4.0,2.0,0.0,619.0,0.0,0.0,2004.0,24023.1,3749.0,592.666311016271,33.608244,-117.897508
113473.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1978.0,2850.72,781.0,145.291933418694,34.176,-118.406
391930.0,2.5,4.0,2.0,0.0,483.0,9.0,0.0,1980.0,4723.98,2748.0,142.62372634643376,33.919832,-117.863703
683916.0,4.0,4.0,2.0,0.0,608.0,9.0,0.0,2001.0,7370.46,3133.0,218.29428662623684,34.203221,-118.918928
