"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","ad_purpose_codes","ad_purpose_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements","even_split_commitments","even_split_disbursements"
"SL/000201","SL/000201_2410557","1","2410557","Krigbema","8.33259","-10.32406","PPL","populated place","6295630|6255146|SL|01|2410557","Earth|Africa|Sierra Leone|Eastern Province|Krigbema","2","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/000201","SL/000201_2405978","1","2405978","Mano","7.90484","-11.30349","PPL","populated place","6295630|6255146|SL|01|2405978","Earth|Africa|Sierra Leone|Eastern Province|Mano","2","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/000201","SL/000201_2405013","1","2405013","Moyamba","8.15898","-12.43168","PPL","populated place","6295630|6255146|SL|03|2405013","Earth|Africa|Sierra Leone|Southern Province|Moyamba","2","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/000201","SL/000201_2566584","1","2566584","Petifu Junction","8.69639","-13.10528","PPL","populated place","6295630|6255146|SL|02|2566584","Earth|Africa|Sierra Leone|Northern Province|Petifu Junction","2","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/000201","SL/000201_2404433","1","2404433","Port Loko","8.76609","-12.78696","PPL","populated place","6295630|6255146|SL|02|2404433","Earth|Africa|Sierra Leone|Northern Province|Port Loko","2","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/000201","SL/000201_2403971","1","2403971","Sembehun","8.25","-10.76667","PPL","populated place","6295630|6255146|SL|01|2403971","Earth|Africa|Sierra Leone|Eastern Province|Sembehun","2","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/000201","SL/000201_2403697","1","2403697","Sumbuya","8.04818","-11.79217","PPL","populated place","6295630|6255146|SL|03|2403697","Earth|Africa|Sierra Leone|Southern Province|Sumbuya","2","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/000201","SL/000201_2403643","1","2403643","Taiama","8.2013","-12.05996","PPL","populated place","6295630|6255146|SL|03|2403643","Earth|Africa|Sierra Leone|Southern Province|Taiama","2","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/000201","SL/000201_2410048","1","2410048","Bo","7.96472","-11.73833","PPLA","seat of a first-order administrative division","6295630|6255146|SL|03|2410048","Earth|Africa|Sierra Leone|Southern Province|Bo","2","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/000201","SL/000201_2407790","1","2407790","Kenema","7.87687","-11.19025","PPLA","seat of a first-order administrative division","6295630|6255146|SL|01|2407790","Earth|Africa|Sierra Leone|Eastern Province|Kenema","2","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/000201","SL/000201_2406407","1","2406407","Makeni","8.88605","-12.04418","PPLA","seat of a first-order administrative division","6295630|6255146|SL|02|2406407","Earth|Africa|Sierra Leone|Northern Province|Makeni","2","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/000201","SL/000201_2410021","3","2410021","Bo District","7.98877","-11.6734","ADM2","second-order administrative division","6295630|6255146|SL|03|2410021","Earth|Africa|Sierra Leone|Southern Province|Bo District","1","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/000201","SL/000201_2408249","3","2408249","Kailahun District","8.10768","-10.75146","ADM2","second-order administrative division","6295630|6255146|SL|01|2408249","Earth|Africa|Sierra Leone|Eastern Province|Kailahun District","1","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/000201","SL/000201_2407781","3","2407781","Kenema District","7.95171","-11.19004","ADM2","second-order administrative division","6295630|6255146|SL|01|2407781","Earth|Africa|Sierra Leone|Eastern Province|Kenema District","1","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/000201","SL/000201_2405008","3","2405008","Moyamba District","8.0629","-12.44401","ADM2","second-order administrative division","6295630|6255146|SL|03|2405008","Earth|Africa|Sierra Leone|Southern Province|Moyamba District","1","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/000201","SL/000201_2409306","1","2409306","Freetown","8.484","-13.22994","PPLC","capital of a political entity","6295630|6255146|SL|04|2409306","Earth|Africa|Sierra Leone|Western Area|Freetown","2","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/000201","SL/000201_2406918","1","2406918","Freetown-Lungi International Airport","8.61644","-13.19549","AIRP","airport","6295630|6255146|SL|02|2406918","Earth|Africa|Sierra Leone|Northern Province|Freetown-Lungi International Airport","3","1","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","","","",""
"SL/001646","SL/001646_2405013","1","2405013","Moyamba","8.15898","-12.43168","PPL","populated place","6295630|6255146|SL|03|2405013","Earth|Africa|Sierra Leone|Southern Province|Moyamba","2","1","1","Service Contract - Techsult: Songo - Moyamba - Road","2012-04-12","start-actual","2012-04-26","","European Union (EU)","DAC","Sierra Leone","SLE","210","Transport and Storage","21020","Road transport","Implementation","2012","2012","23568.0","23568.0","5892.0","5892.0"
"SL/001646","SL/001646_2403753","1","2403753","Songo","8.36843","-12.93282","PPL","populated place","6295630|6255146|SL|02|2403753","Earth|Africa|Sierra Leone|Northern Province|Songo","2","1","1","Service Contract - Techsult: Songo - Moyamba - Road","2012-04-12","start-actual","2012-04-26","","European Union (EU)","DAC","Sierra Leone","SLE","210","Transport and Storage","21020","Road transport","Implementation","2012","2012","23568.0","23568.0","5892.0","5892.0"
"SL/001646","SL/001646_2405008","3","2405008","Moyamba District","8.0629","-12.44401","ADM2","second-order administrative division","6295630|6255146|SL|03|2405008","Earth|Africa|Sierra Leone|Southern Province|Moyamba District","1","1","1","Service Contract - Techsult: Songo - Moyamba - Road","2012-04-12","start-actual","2012-04-26","","European Union (EU)","DAC","Sierra Leone","SLE","210","Transport and Storage","21020","Road transport","Implementation","2012","2012","23568.0","23568.0","5892.0","5892.0"
"SL/001646","SL/001646_9179950","3","9179950","Western Area Rural","8.32319","-13.09485","ADM2","second-order administrative division","6295630|6255146|SL|04|9179950","Earth|Africa|Sierra Leone|Western Area|Western Area Rural","1","1","1","Service Contract - Techsult: Songo - Moyamba - Road","2012-04-12","start-actual","2012-04-26","","European Union (EU)","DAC","Sierra Leone","SLE","210","Transport and Storage","21020","Road transport","Implementation","2012","2012","23568.0","23568.0","5892.0","5892.0"
"SL/000950","SL/000950_2405013","1","2405013","Moyamba","8.15898","-12.43168","PPL","populated place","6295630|6255146|SL|03|2405013","Earth|Africa|Sierra Leone|Southern Province|Moyamba","2","1","1","HIV/AIDS Response Project (SHARP)","2002-03-25","start-actual","2009-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13040","STD control including HIV/AIDS","Completion","2002","2009","4194452.0","4194452.0","699075.333333","699075.333333"
"SL/000950","SL/000950_2404433","1","2404433","Port Loko","8.76609","-12.78696","PPL","populated place","6295630|6255146|SL|02|2404433","Earth|Africa|Sierra Leone|Northern Province|Port Loko","2","1","1","HIV/AIDS Response Project (SHARP)","2002-03-25","start-actual","2009-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13040","STD control including HIV/AIDS","Completion","2002","2009","4194452.0","4194452.0","699075.333333","699075.333333"
"SL/000950","SL/000950_2410048","1","2410048","Bo","7.96472","-11.73833","PPLA","seat of a first-order administrative division","6295630|6255146|SL|03|2410048","Earth|Africa|Sierra Leone|Southern Province|Bo","2","1","1","HIV/AIDS Response Project (SHARP)","2002-03-25","start-actual","2009-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13040","STD control including HIV/AIDS","Completion","2002","2009","4194452.0","4194452.0","699075.333333","699075.333333"
"SL/000950","SL/000950_2407790","1","2407790","Kenema","7.87687","-11.19025","PPLA","seat of a first-order administrative division","6295630|6255146|SL|01|2407790","Earth|Africa|Sierra Leone|Eastern Province|Kenema","2","1","1","HIV/AIDS Response Project (SHARP)","2002-03-25","start-actual","2009-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13040","STD control including HIV/AIDS","Completion","2002","2009","4194452.0","4194452.0","699075.333333","699075.333333"
"SL/000950","SL/000950_2409306","1","2409306","Freetown","8.484","-13.22994","PPLC","capital of a political entity","6295630|6255146|SL|04|2409306","Earth|Africa|Sierra Leone|Western Area|Freetown","2","1","1","HIV/AIDS Response Project (SHARP)","2002-03-25","start-actual","2009-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13040","STD control including HIV/AIDS","Completion","2002","2009","4194452.0","4194452.0","699075.333333","699075.333333"
