"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","ad_purpose_codes","ad_purpose_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"SL/000021","1","Strengthening District Health Services Project","2005-10-17","start-actual","2013-12-31","end-actual","African Development Bank (AfDB)","DAC","Sierra Leone","SLE","120","Health","12005","Health, purpose unspecified","Completion","2005","2013","36149108.0","36149108.0"
"SL/000103","1","Education and Fishing Project","2007-05-01","start-actual","2008-12-31","end-actual","Italian Cooperation","ITA","Sierra Leone","SLE","313|113|112","Fishing|Secondary Education|Basic education","31320|11320|11220","Fishery development|Secondary education|Primary education","Completion","2007","2008","1651526.0","1651526.0"
"SL/000107","1","Governance Reform Programme (Budget Support)","2004-01-01","start-actual","2010-12-31","end-actual","World Bank","DAC","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","Completion","2004","2010","11712352.0","11712352.0"
"SL/000114","1","S/Leone Interim Recovery Project-20","2002-11-26","start-actual","2006-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","510","General budget support","51010","General budget support","Completion","2002","2006","1928620.0","1974941.0"
"SL/000118","1","Bumbuna Hydro Electric Project - Supplementary Loan","2009-04-06","start-actual","2010-03-26","end-actual","African Development Bank (AfDB)","DAC","Sierra Leone","SLE","230","Energy Generation and Supply","23000","Energy generation and supply, combinations ofpurposes","Completion","2009","2010","13097009.0","10606527.0"
"SL/000123","1","Taskforce on Decentralisation and Local Government","2002-12-01","start-actual","2005-07-01","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","Completion","2002","2005","","133367.0"
"SL/000127","1","Short Term Input to Improve Partcipation within the Poverty Reduction Strategy Paper Process","2003-03-31","start-actual","2007-04-01","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","510","General budget support","51010","General budget support","Completion","2003","2007","3047109.0","3047109.0"
"SL/000139","1","Health Sector Support Programme","2000-07-07","start-actual","2010-12-31","end-actual","European Union (EU)","DAC","Sierra Leone","SLE","120","Health","12005","Health, purpose unspecified","Completion","2000","2010","20953924.0","23211609.0"
"SL/000142","1","Transitional Support to former IDPs, Returnees, Refugee,  Hosting Communities","2004-01-01","start-actual","2007-12-28","end-actual","European Union (EU)","DAC","Sierra Leone","SLE","700","Humanitarian aid (Including reconstruction and recovery)","70000","Emergency Assistance and Reconstruction, combinations of purposes","Completion","2004","2007","36072692.0","29059649.0"
"SL/000176","1","Support to Poverty Reduction Programme","2004-01-01","start-actual","2010-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","510","General budget support","51010","General budget support","Completion","2004","2010","8381886.0","7687217.0"
"SL/000177","1","Democratic Governance-AWP","2004-01-01","start-actual","2005-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","","2004","2005","3957746.0","3342605.0"
"SL/000182","1","Pro-Poor Policy Formulation","2004-01-01","start-actual","2004-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","","2004","2004","",""
"SL/000183","1","Shelter Assistance-Phase 2","2004-01-01","start-actual","2004-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","160","Other Social Infrastructure and Services","16030","Housing policy and administrative management","","2004","2004","",""
"SL/000184","1","UNDP Poverty Programme","2004-01-01","start-actual","2005-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","510","General budget support","51010","General budget support","Completion","2004","2005","2652634.0","2652634.0"
"SL/000185","1","Coordination and Outreach","2004-01-01","start-actual","2004-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15141","Government administration","","2004","2004","194681.0","222923.0"
"SL/000201","1","Transport Sector Project","1995-12-31","start-actual","2004-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","1995","2004","",""
"SL/000203","1","Health Sector Reconstruction and Development Project (HSRDP)","2003-02-24","start-actual","2010-08-31","end-actual","World Bank","DAC","Sierra Leone","SLE","122","Basic health","12230","Basic health infrastructure","Completion","2003","2010","26679355.0","26605676.0"
"SL/000226","1","Governance-AWP","2005-01-01","start-actual","2005-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","","2005","2005","",""
"SL/000232","1","Rehabilitation and Resettlement Programme","2004-01-01","start-actual","2007-12-31","end-actual","European Union (EU)","DAC","Sierra Leone","SLE","120|111","Health|Education, level unspecified","12005|11105","Health, purpose unspecified|Education, level unspecified,purpose unspecified","Completion","2004","2007","44011800.0","39397391.0"
"SL/000238","1","Institutional Reform and Capacity Building","2006-07-21","start-actual","2012-12-31","end-actual","World Bank","DAC","Sierra Leone","SLE","151|510","Government and civil society, general|General budget support","15140|51010","Government administration|General budget support","Completion","2006","2012","26332576.0","24096767.0"
"SL/000240","1","Freetown Water Supply Rehabilitation","2007-11-28","start-actual","2010-12-31","end-actual","World Bank","DAC","Sierra Leone","SLE","140","Water Supply and Sanitation","14000","Water Supply and Sanitation, combination of purposes","Completion","2007","2010","6789473.0","6186446.0"
"SL/000246","1","SL Infrastructure Development Project (Transport)","2005-12-05","start-actual","2013-12-13","end-actual","World Bank","DAC","Sierra Leone","SLE","210","Transport and Storage","21005","Transport and Storage, purposeunspecified","Completion","2005","2013","70643911.0","47654488.0"
"SL/000261","1","SLRA Support Programme","1995-06-01","start-actual","2007-12-31","end-actual","European Union (EU)","DAC","Sierra Leone","SLE","510","General budget support","51010","General budget support","Completion","1995","2007","33058165.0","30792024.0"
"SL/000268","1","Stabilisation of Export Earnings (STABEX 99)","2005-01-01","start-actual","2005-12-31","end-actual","European Union (EU)","DAC","Sierra Leone","SLE","510","General budget support","51010","General budget support","Completion","2005","2005","3039128.0","3039128.0"
"SL/000270","1","Support to the Decentralisation Process","2003-12-18","start-actual","2010-12-31","end-actual","European Union (EU)","DAC","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","Completion","2003","2010","14569909.0","13319900.0"
"SL/000287","1","Support for Local  Government Elections","2003-06-01","start-actual","2008-01-16","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2003","2008","","3284212.0"
"SL/000290","1","Strengthening Parliamentary Legislative and Oversight Capacity in Sierra Leone","2008-01-21","start-actual","2008-07-31","end-actual","Department for International Development (DFID)","GBR","Sierra Leone","SLE","151","Government and civil society, general","15141","Government administration","Completion","2008","2008","221759.0","128620.0"
"SL/000350","1","Poverty-AWP","2005-01-01","start-actual","2005-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","250","Business and Other Services","25010","Business support services and institutions","","2005","2005","",""
"SL/000351","1","Recovery-AWP","2005-01-01","start-actual","2005-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","700","Humanitarian aid (Including reconstruction and recovery)","70000","Emergency Assistance and Reconstruction, combinations of purposes","","2005","2005","",""
"SL/000353","1","Programme Effectiveness","2005-01-01","start-actual","2005-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","150","Government and civil society","15000","Government and civil society, combination of activities","","2005","2005","",""
"SL/000354","1","National Framework Convention","2004-01-01","start-actual","2005-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","510","General budget support","51010","General budget support","","2004","2005","",""
"SL/000355","1","R&R MAC & Monitoring project","2005-01-01","start-actual","2009-12-31","end-actual","Montreal Protocol","DAC","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","","2005","2009","145393.0","145393.0"
"SL/000358","1","NAP to Combat Desertification / Land Degradation - UNCCD","2005-01-01","start-actual","2007-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","312","Forestry","31210","Forestry policy and administrative management","","2005","2007","",""
"SL/000361","1","Public Administration & Civil Service","2005-01-01","start-actual","2005-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","","2005","2005","",""
"SL/000362","1","Recovery and Peace Building","2004-01-01","start-actual","2007-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","700","Humanitarian aid (Including reconstruction and recovery)","70000","Emergency Assistance and Reconstruction, combinations of purposes","","2004","2007","6074506.0","5846678.0"
"SL/000364","1","Interim Governance Project","2004-01-01","start-actual","2007-12-31","end-actual","UNDP","DAC","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","Completion","2004","2007","715624.0","799769.0"
"SL/000408","1","Mother and Child, Health & Nutrition","2005-06-30","start-actual","2007-11-30","end-actual","World Food Programme (WFP)","DAC","Sierra Leone","SLE","122","Basic health","12240","Basic nutrition","","2005","2007","1938432.0","1904424.0"
"SL/000409","1","National Social Action","2003-04-23","start-actual","2010-12-31","end-actual","World Bank","DAC","Sierra Leone","SLE","998","Unallocated / Unspecified","99810","Sectors not specified","Completion","2003","2010","12819590.0","12581947.0"
"SL/000415","1","Support to Basic Education( Country Programme 10333.0)","2005-09-30","start-actual","2007-11-30","end-actual","World Food Programme (WFP)","DAC","Sierra Leone","SLE","112","Basic education","11220","Primary education","","2005","2007","5917319.0","3729498.0"
"SL/000480","1","Media Strengthening","2005-01-28","start-actual","2008-01-30","end-actual","USAID","USA","Sierra Leone","SLE","151|151|220","Government and civil society, general|Government and civil society, general|Communications","15150|15140|22030","Strengthening civil society|Government administration|Radio/television/print media","Completion","2005","2008","1760995.0","1760995.0"
"SL/000482","1","Strengthening Democratic Governance","2005-03-01","start-actual","2008-11-30","end-actual","USAID","USA","Sierra Leone","SLE","151","Government and civil society, general","15140","Government administration","Completion","2005","2008","5781274.0","5781274.0"
"SL/000483","1","Enhancing Good Governance and the Political Process through Support to Transparent Credible National Elections","2006-12-18","start-actual","2008-10-31","end-actual","USAID","USA","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Completion","2006","2008","3129594.0","3129594.0"
"SL/000484","1","US Embassy Democracy and Human Rights Program","2007-08-31","start-actual","2008-09-30","end-actual","US Embassy","USA","Sierra Leone","SLE","151|151|151|151","Government and civil society, general|Government and civil society, general|Government and civil society, general|Government and civil society, general","15130|15150|15150|15150","Legal and judicial development|Strengthening civil society|Strengthening civil society|Strengthening civil society","Completion","2007","2008","80035.0","80035.0"
"SL/000487","1","Promoting Linkages for Livelihood Secuirty and Economic Development (LINKS)","2004-12-01","start-actual","2008-10-31","end-actual","USAID","USA","Sierra Leone","SLE","311|321|311","Agriculture|Industry|Agriculture","31120|32120|31120","Agricultural development|Industrial development|Agricultural development","Completion","2004","2008","9369127.0","9369127.0"
"SL/000490","1","Ambassador's Special Self Help Program (SSH)","2007-11-01","start-actual","2010-12-31","end-actual","US Embassy","USA","Sierra Leone","SLE","321|311|113|112|998|311|160|140|140","Industry|Agriculture|Secondary Education|Basic education|Unallocated / Unspecified|Agriculture|Other Social Infrastructure and Services|Water Supply and Sanitation|Water Supply and Sanitation","32120|31120|11320|11220|99810|31120|16010|14020|14020","Industrial development|Agricultural development|Secondary education|Primary education|Sectors not specified|Agricultural development|Social/ welfare services|Water supply and sanitation - large systems|Water supply and sanitation - large systems","Completion","2007","2010","144063.0","141889.0"
"SL/000496","1","HIV/AIDS Awareness and Prevention program","2007-09-01","start-actual","2008-09-30","end-actual","US Embassy","USA","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13040","STD control including HIV/AIDS","Completion","2007","2008","960426.0",""
"SL/000498","1","Livelihood Expansion and Asset Development (LEAD) Program","2006-10-01","start-actual","2010-05-31","end-actual","USAID","USA","Sierra Leone","SLE","122|321|122|130|311|311|311","Basic health|Industry|Basic health|Population Policies / Programmes and Reproductive Health|Agriculture|Agriculture|Agriculture","12230|32120|12261|13020|31120|31120|31120","Basic health infrastructure|Industrial development|Health education|Reproductive health care|Agricultural development|Agricultural development|Agricultural development","Completion","2006","2010","20298439.0","18928479.0"
"SL/000512","1","Small Scale German Embassy Projects","2008-04-30","start-actual","2008-12-30","end-actual","Germany","DEU","Sierra Leone","SLE","111|111|311|130|311","Education, level unspecified|Education, level unspecified|Agriculture|Population Policies / Programmes and Reproductive Health|Agriculture","11105|11100|31120|13020|31120","Education, level unspecified,purpose unspecified|Education, level unspecified, combination of purposes|Agricultural development|Reproductive health care|Agricultural development","Completion","2008","2008","49094.0","49094.0"
"SL/000532","1","Bumbuna Hydro Environmental & Social Management","2006-12-19","start-actual","2013-12-30","end-actual","World Bank","DAC","Sierra Leone","SLE","998|410","Unallocated / Unspecified|General environmental protection","99810|41020","Sectors not specified|Biosphere protection","Completion","2006","2013","18476794.0","16532420.0"
"SL/000537","1","Power and Water Project","2004-09-30","start-actual","2011-03-31","end-actual","World Bank","DAC","Sierra Leone","SLE","140|230","Water Supply and Sanitation|Energy Generation and Supply","14000|23000","Water Supply and Sanitation, combination of purposes|Energy generation and supply, combinations ofpurposes","Completion","2004","2011","43456572.0","37286452.0"
"SL/000540","1","Rural and Private Sector Development","2007-08-01","start-actual","2015-11-14","end-actual","World Bank","DAC","Sierra Leone","SLE","998|210","Unallocated / Unspecified|Transport and Storage","99810|21020","Sectors not specified|Road transport","Implementation","2007","2015","31880741.0","31348636.0"
